nw,birds,PDsum,PD,pdint,pdint.b,ctrb.pdint,ctrbpdint.b,compl,netcode,database,human_impact,Realm,birds.1,NicheBreadth,NichePosition,ED,DR,birds1,family,Beak.Length_Culmen,Beak.Depth,Tarsus.Length,Wing.Length,Kipps.Distance,hwi,Tail.Length,Beak.Width,Mass,Range.Size,Mass_log,Range.Size_log,pdint.b_log,Beak.Width_log
1,Columba palumbus,19852.2,2231.86,336.07,14.5,0.0169,0.0065,0.0432,1,00InteractionData_DE,0.144,Palearctic,Columba palumbus,0.824785438,0.424296365,6.02369153738138,0.189466137128079,Columba palumbus,Columbidae,27.8,7.8,31.5,246.4,101.4,41.2,153.2,8,490,11947217.36,2.690196080028514,7.0772667650397185,1.1613680022349748,0.9030899869919435
1,Corvus corone,19852.2,2231.86,375.78,16.83,0.0189,0.0075,0.0448,1,00InteractionData_DE,0.144,Palearctic,Corvus corone,3.190597602,0.917360854,3.26724210701544,0.337695941696796,Corvus corone,Corvidae,55,18.5,59.4,323.9,119.6,36.9,179.6,15.1,570,33343165.09,2.7558748556724915,7.5230068227229046,1.2260841159758238,1.1789769472931695
1,Erithacus rubecula,19852.2,2231.86,1112.01,228.94,0.056,0.1026,0.2059,1,00InteractionData_DE,0.144,Palearctic,Erithacus rubecula,0.549256073,0.444044802,15.1153530623078,0.0716395518286283,Erithacus rubecula,Muscicapidae,14,3.3,24.5,71.6,14.2,19.9,56.9,2.9,17.7,10001378.73,1.2479732663618066,7.000059873355739,2.359721678483211,0.4623979978989561
1,Ficedula hypoleuca,19852.2,2231.86,439.62,26.11,0.0221,0.0117,0.0594,1,00InteractionData_DE,0.144,Palearctic,Ficedula hypoleuca,3.258861229,0.059100204,3.12685868116475,0.340096489108701,Ficedula hypoleuca,Muscicapidae,12.8,3.2,17.6,79.3,24.2,30.4,52.1,4.1,13.8,7339714.14,1.1398790864012365,6.8656791457691835,1.4168068718229445,0.6127838567197355
1,Garrulus glandarius,19852.2,2231.86,528.34,28.29,0.0266,0.0127,0.0535,1,00InteractionData_DE,0.144,Palearctic,Garrulus glandarius,2.285682374,0.524990394,10.2943535687046,0.105059545221485,Garrulus glandarius,Corvidae,33,11.6,39.1,181.1,35.4,19.4,150.2,9,159.5,19458203.9,2.2027606873931997,7.289102749996122,1.451632947456991,0.9542425094393249
1,Parus caeruleus,19852.2,2231.86,1279.24,143.83,0.0644,0.0644,0.1124,1,00InteractionData_DE,0.144,Palearctic,Parus caeruleus,0.38384526,0.373650862,9.08672047370442,0.142632470223198,Cyanistes caeruleus,Paridae,9.7,4.2,15.2,65.6,13.8,21,51.4,3.2,11.1,8753389.8,1.0453229787866574,6.94217626860455,2.1578494804529016,0.505149978319906
1,Parus major,19852.2,2231.86,653.93,39.82,0.0329,0.0178,0.0609,1,00InteractionData_DE,0.144,Palearctic,Parus major,4.519000871,0.428053848,9.34192070889985,0.114665511194402,Parus major,Paridae,11.3,4.3,17.4,70.9,13.3,18.7,61.2,4,16.3,32577984.28,1.212187604403958,7.512924209402966,1.6001012556913907,0.6020599913279624
1,Parus montanus,19852.2,2231.86,448.79,41.59,0.0226,0.0186,0.0927,1,00InteractionData_DE,0.144,Palearctic,Parus montanus,2.15607501,1.013277192,9.49801376031019,0.108964084108745,Poecile montanus,Paridae,11,4,16.2,65.5,11.6,17.7,59.3,3.4,11.1,21263364.59,1.0453229787866574,7.327631985834366,1.6189889203649337,0.5314789170422551
1,Parus palustris,19852.2,2231.86,788.18,68.45,0.0397,0.0307,0.0868,1,00InteractionData_DE,0.144,Palearctic,Parus palustris,1.329096394,0.607551834,9.4995581943698,0.111862845765337,Poecile palustris,Paridae,9.4,4.1,15.9,64,11.4,17.9,54.8,3.3,11.1,9072135.09,1.0453229787866574,6.957709508524664,1.8353734524700087,0.5185139398778874
1,Passer domesticus,19852.2,2231.86,375.78,17.79,0.0189,0.008,0.0473,1,00InteractionData_DE,0.144,Palearctic,Passer domesticus,3.235933193,0.240598518,3.60703088212328,0.320392690698532,Passer domesticus,Passeridae,13.5,7.4,17.9,74.9,20.4,27.3,57.2,6.3,26.5,34407867.59,1.423245873936808,7.536657758276476,1.250175948083925,0.7993405494535817
